drug_1,drug_2,cosine_similarity
SEMAGLUTIDE,CENOBAMATE,0.8474276
DUPILUMAB,TREPROSTINIL,0.8471663
LENALIDOMIDE,PIMAVANSERIN TARTRATE,0.8471576
SOMATROPIN,CORTICOTROPIN,0.847024
CABOZANTINIB S-MALATE,ADAPALENE,0.84678626
RISANKIZUMAB-RZAA,ADALIMUMAB,0.8453889
TIRZEPATIDE,INFLIXIMAB,0.84384906
UPADACITINIB,ADAPALENE,0.8438186
TIRZEPATIDE,SOMATROPIN,0.8434329
SOMATROPIN,TREPROSTINIL,0.8420557
TIRZEPATIDE,GUSELKUMAB,0.8418623
INFLIXIMAB,PIMAVANSERIN TARTRATE,0.8409618
UPADACITINIB,SEMAGLUTIDE,0.84092337
CLOZAPINE,CENOBAMATE,0.84078586
VEDOLIZUMAB,ADALIMUMAB,0.83974004
INSULIN GLARGINE,CENOBAMATE,0.83924365
CABOZANTINIB S-MALATE,SOMATROPIN,0.8388113
LENALIDOMIDE,NEMOLIZUMAB-ILTO,0.8378146
TIRZEPATIDE,CLOZAPINE,0.83778894
SEMAGLUTIDE,ACETAMINOPHEN,0.8376315
SEMAGLUTIDE,INFLIXIMAB,0.83747697
ABALOPARATIDE,LENALIDOMIDE,0.8374572
VEDOLIZUMAB,PIMAVANSERIN TARTRATE,0.8372861
LENALIDOMIDE,SEMAGLUTIDE,0.83678997
DUPILUMAB,SOMATROPIN,0.83522415
ABALOPARATIDE,RISANKIZUMAB-RZAA,0.8350622
TIRZEPATIDE,PEMBROLIZUMAB,0.8350385
DUPILUMAB,LENALIDOMIDE,0.8346624
UPADACITINIB,INSULIN GLARGINE,0.83438826
ADALIMUMAB,NEMOLIZUMAB-ILTO,0.83380634
PEMBROLIZUMAB,ADALIMUMAB,0.8332949
INSULIN GLARGINE,NEMOLIZUMAB-ILTO,0.8331482
SEMAGLUTIDE,PEMBROLIZUMAB,0.8329068
UPADACITINIB,CENOBAMATE,0.83207357
LENALIDOMIDE,TREPROSTINIL,0.83119786
TIRZEPATIDE,ACETAMINOPHEN,0.83051383
ADAPALENE,TREPROSTINIL,0.83031034
RITUXIMAB,PIMAVANSERIN TARTRATE,0.83017546
RISANKIZUMAB-RZAA,SEMAGLUTIDE,0.8299376
TIRZEPATIDE,RITUXIMAB,0.829761
VEDOLIZUMAB,SEMAGLUTIDE,0.82967585
ABALOPARATIDE,NEMOLIZUMAB-ILTO,0.82866025
ADALIMUMAB,GUSELKUMAB,0.8273295
INFLIXIMAB,TREPROSTINIL,0.8267394
SEMAGLUTIDE,GUSELKUMAB,0.8266997
LENALIDOMIDE,INSULIN GLARGINE,0.8266544
CENOBAMATE,TREPROSTINIL,0.8265852
ABALOPARATIDE,CLOZAPINE,0.82542855
UPADACITINIB,ADALIMUMAB,0.82541996
SEMAGLUTIDE,TREPROSTINIL,0.8252138
SEMAGLUTIDE,RITUXIMAB,0.8245543
ADALIMUMAB,RITUXIMAB,0.8245165
INSULIN GLARGINE,TREPROSTINIL,0.8240238
LENALIDOMIDE,ADAPALENE,0.82345533
RISANKIZUMAB-RZAA,INSULIN GLARGINE,0.82332903
PEMBROLIZUMAB,PIMAVANSERIN TARTRATE,0.8232473
UPADACITINIB,SOMATROPIN,0.8224097
CABOZANTINIB S-MALATE,CLOZAPINE,0.8205086
ABALOPARATIDE,GUSELKUMAB,0.8197994
INFLIXIMAB,CENOBAMATE,0.8185059
RITUXIMAB,TREPROSTINIL,0.81725335
SOMATROPIN,CENOBAMATE,0.81706923
NEMOLIZUMAB-ILTO,TREPROSTINIL,0.81679875
INFLIXIMAB,INSULIN GLARGINE,0.81586725
ADAPALENE,ACETAMINOPHEN,0.81545156
ACETAMINOPHEN,PIMAVANSERIN TARTRATE,0.81513435
ACETAMINOPHEN,CLOZAPINE,0.8148215
VEDOLIZUMAB,CLOZAPINE,0.8144439
DUPILUMAB,CLOZAPINE,0.8139518
ADALIMUMAB,CLOZAPINE,0.8138743
RISANKIZUMAB-RZAA,TREPROSTINIL,0.81335396
INSULIN GLARGINE,GUSELKUMAB,0.81301224
GUSELKUMAB,TREPROSTINIL,0.81297266
RISANKIZUMAB-RZAA,LENALIDOMIDE,0.8129354
INFLIXIMAB,CLOZAPINE,0.81259644
LENALIDOMIDE,VEDOLIZUMAB,0.812434
CABOZANTINIB S-MALATE,ACETAMINOPHEN,0.81136423
CORTICOTROPIN,PIMAVANSERIN TARTRATE,0.8110553
PEMBROLIZUMAB,CLOZAPINE,0.810873
SOMATROPIN,INFLIXIMAB,0.81023014
ADAPALENE,NEMOLIZUMAB-ILTO,0.8099686
SOMATROPIN,NEMOLIZUMAB-ILTO,0.8098816
VEDOLIZUMAB,INSULIN GLARGINE,0.8098632
CENOBAMATE,NEMOLIZUMAB-ILTO,0.80958366
ABALOPARATIDE,INFLIXIMAB,0.80946124
PEMBROLIZUMAB,CENOBAMATE,0.8089988
TIRZEPATIDE,ADALIMUMAB,0.80734396
RISANKIZUMAB-RZAA,CENOBAMATE,0.80727893
LENALIDOMIDE,INFLIXIMAB,0.80715626
ABALOPARATIDE,VEDOLIZUMAB,0.8069681
ADAPALENE,INFLIXIMAB,0.8066961
ABALOPARATIDE,CORTICOTROPIN,0.80600053
ABALOPARATIDE,RITUXIMAB,0.80559856
RISANKIZUMAB-RZAA,CLOZAPINE,0.8053582
CLOZAPINE,NEMOLIZUMAB-ILTO,0.80525553
RISANKIZUMAB-RZAA,ADAPALENE,0.8044449
ADALIMUMAB,INSULIN GLARGINE,0.8036595
ABALOPARATIDE,PEMBROLIZUMAB,0.8035487
CORTICOTROPIN,INSULIN GLARGINE,0.8034544
ADAPALENE,CLOZAPINE,0.80309486
ABALOPARATIDE,ADALIMUMAB,0.8026874
ADALIMUMAB,CENOBAMATE,0.80230874
