config,best_fit,test_f1
Random search (sin AG),0.06058778365742704,0.051153432541927835
Solo mutacion (sin cruce),0.0818289915755169,0.059330805664603394
Solo cruce (sin mutacion),0.09592872984323415,0.0660053835868849
Sin elitismo,0.10232631468426896,0.07455099111986695
AG COMPLETO (este proyecto),0.09955543597516078,0.06458938105105944
