gen,best,mean,div_geno,selpres,sigma,event,immigrants
95,0.10106475519266306,0.09252634185109804,0.11079247192820893,1.7,0.20667334669338677,-,0
96,0.10106475519266306,0.09167088611715417,0.11270411432009869,1.7,0.2062124248496994,-,0
97,0.10106475519266306,0.09094255006084599,0.11687359909850162,1.7,0.10287575150300601,damp,0
98,0.10106475519266306,0.09141152638373327,0.11103103519487918,1.7,0.20529058116232465,-,0
99,0.10106475519266306,0.09076274148332265,0.11509021706380478,1.7,0.10241482965931864,damp,0
100,0.10106475519266306,0.09154438005362099,0.11186822435251047,1.7,0.20436873747494988,-,0
101,0.10106475519266306,0.09101067011811192,0.11761782879895376,1.7,0.10195390781563127,damp,0
102,0.10106475519266306,0.09148885657082659,0.11254473701060641,1.7,0.20344689378757513,-,0
103,0.10106475519266306,0.09188967193394179,0.11215716352654607,1.7,0.2029859719438878,-,0
104,0.10106475519266306,0.09156927224834621,0.11472078385558082,1.7,0.2025250501002004,-,0
105,0.10106475519266306,0.09132613787429725,0.11366750363946006,1.7,0.20206412825651304,-,0
106,0.10106475519266306,0.0908153363896527,0.11916900040450464,1.7,0.10080160320641282,damp,0
107,0.10106475519266306,0.09153239193899024,0.11373788254066605,1.7,0.20114228456913827,-,0
108,0.10106475519266306,0.09206449821358988,0.11291215817911703,1.7,0.2006813627254509,-,0
109,0.10106475519266306,0.09196145665970676,0.1144067608805761,1.7,0.20022044088176352,-,0
110,0.10106475519266306,0.09155480921869813,0.11704631528865157,1.7,0.09987975951903807,damp,0
111,0.10106475519266306,0.09214275177460719,0.11306541043792026,1.7,0.19929859719438878,-,0
112,0.10106475519266306,0.09177363227712221,0.11535054003486972,1.7,0.0994188376753507,damp,0
113,0.10106475519266306,0.09284000033726993,0.11133049053590773,1.7,0.19837675350701403,-,0
114,0.10106475519266306,0.09296565446632696,0.11449056457885898,1.7,0.19791583166332666,-,0
115,0.10106475519266306,0.09270054123556196,0.11551303979517397,1.7,0.09872745490981964,damp,0
116,0.10106475519266306,0.09375589447002156,0.11094137665994581,1.7,0.1969939879759519,-,0
117,0.1011383772327568,0.09339596978477403,0.11389857895902274,1.7,0.1965330661322645,-,0
118,0.1011383772327568,0.09297931687053311,0.11628755036201395,1.7,0.09803607214428858,damp,0
119,0.1011383772327568,0.09320122827645745,0.1140236809601771,1.7,0.19561122244488977,-,0
120,0.1011383772327568,0.09332643907399699,0.11553204663546734,1.7,0.09757515030060121,damp,0
121,0.1011383772327568,0.09388122261580323,0.1134474024900205,1.7,0.19468937875751502,-,0
122,0.1011383772327568,0.09319784247655635,0.11564688454363421,1.7,0.09711422845691382,damp,0
123,0.1011383772327568,0.093815838135844,0.1129873438166216,1.7,0.19376753507014027,-,0
124,0.1011383772327568,0.09314527126004266,0.11400956043682091,1.7,0.1933066132264529,-,0
125,0.1011383772327568,0.09273769195923373,0.11745864022254146,1.7,0.09642284569138276,damp,0
126,0.1011383772327568,0.09321654483571816,0.11639328370417108,1.7,0.09619238476953908,damp,0
127,0.1011383772327568,0.09397047926635403,0.11447781607000744,1.7,0.19192384769539078,-,0
128,0.1011383772327568,0.09371384814006131,0.11607193749539052,1.7,0.0957314629258517,damp,0
129,0.1011383772327568,0.09439811106645819,0.10922238960819246,1.7,0.19100200400801604,-,0
130,0.1011383772327568,0.09407780294118354,0.11185162486700499,1.7,0.19054108216432866,-,0
131,0.1011383772327568,0.0935897338771543,0.116775302755744,1.7,0.09504008016032064,damp,0
132,0.1011383772327568,0.09432101923150071,0.1145535292750905,1.7,0.18961923847695392,-,0
133,0.10249525808998132,0.0940156791024522,0.11763200210497103,1.7,0.09457915831663327,damp,0
134,0.10249525808998132,0.09456583031205759,0.11652356380984497,1.7,0.09434869739478957,damp,0
135,0.10258052676927105,0.09571965249429502,0.1157478912104133,1.7,0.0941182364729459,damp,0
136,0.10301084704784803,0.09663577790121942,0.115399047452958,1.7,0.0938877755511022,damp,0
137,0.10344971166178421,0.09716814231806065,0.11453322844289375,1.7,0.18731462925851705,-,0
138,0.10546230922610539,0.09783835209649083,0.11808044559115437,1.7,0.09342685370741483,damp,0
139,0.10546230922610539,0.09770285597052993,0.11722591697839957,1.7,0.09319639278557114,damp,0
140,0.10546230922610539,0.09822622256187641,0.11452664716507054,1.7,0.1859318637274549,-,0
141,0.10546230922610539,0.09780343867714017,0.11860809679115646,1.7,0.09273547094188377,damp,0
142,0.10546230922610539,0.09832184793317367,0.11907138190463207,1.7,0.09250501002004008,damp,0
143,0.10546230922610539,0.09861074265935792,0.11799952516439133,1.7,0.09227454909819639,damp,0
144,0.1055024937402853,0.09915629872597409,0.11720143137918519,1.7,0.0920440881763527,damp,0
145,0.10681829926480528,0.10000771288305846,0.11474587286973444,1.7,0.183627254509018,-,0
146,0.10681829926480528,0.10020422973163838,0.11761560468038201,1.7,0.09158316633266533,damp,0
147,0.10729063876077738,0.10074978600330955,0.11419930944981918,1.7,0.18270541082164327,-,0
148,0.10729063876077738,0.1007417169972332,0.1166594324548479,1.7,0.09112224448897796,damp,0
149,0.10729063876077738,0.10142353987095758,0.11382345146802196,1.7,0.18178356713426852,-,0
150,0.10729063876077738,0.10094433405815235,0.11731301563339008,1.7,0.09066132264529059,damp,0
151,0.10736815775702371,0.10168169603466319,0.11395784821614019,1.7,0.18086172344689377,-,0
152,0.10736815775702371,0.10098757288808477,0.11447756172825307,1.7,0.1804008016032064,-,0
153,0.10736815775702371,0.10047624712392089,0.11350539302073703,1.7,0.17993987975951903,-,0
154,0.10736815775702371,0.10013374543081344,0.11503989326321144,1.7,0.08973947895791584,damp,0
155,0.10736815775702371,0.09991145261003284,0.11320736801901453,1.7,0.17901803607214428,-,0
156,0.10736815775702371,0.0995344272106029,0.11344681115102362,1.7,0.1785571142284569,-,0
157,0.10736815775702371,0.10005740121485311,0.11030935870248396,1.7,0.17809619238476954,-,0
158,0.10736815775702371,0.09926074740295379,0.10957454662007005,1.7,0.17763527054108216,-,0
159,0.10736815775702371,0.09911113633079253,0.11094878091382514,1.7,0.1771743486973948,-,0
160,0.10736815775702371,0.09884692403669601,0.11181731335107963,1.7,0.17671342685370742,-,0
161,0.10736815775702371,0.09922872743200555,0.11263987847674484,1.7,0.17625250501002004,-,0
162,0.10736815775702371,0.0988336968840758,0.11448770303121832,1.7,0.17579158316633267,-,0
163,0.10736815775702371,0.09887315408790676,0.11430443643557768,1.7,0.1753306613226453,-,0
164,0.10736815775702371,0.09888417700927449,0.1131933777222922,1.7,0.1748697394789579,-,0
165,0.10736815775702371,0.09917537789186258,0.11161487856429086,1.7,0.17440881763527055,-,0
166,0.10736815775702371,0.09904182370375886,0.1086701188458737,1.7,0.17394789579158315,-,0
167,0.10736815775702371,0.09899295354228904,0.1082037624000925,1.7,0.1734869739478958,-,0
168,0.10736815775702371,0.09841511114182673,0.10989424651244191,1.7,0.1730260521042084,-,0
169,0.10736815775702371,0.09809483329146336,0.11217001194932438,1.7,0.17256513026052103,-,0
170,0.10736815775702371,0.09831724403986601,0.11336869688824816,1.7,0.17210420841683366,-,0
171,0.10736815775702371,0.09769484358209685,0.11436560034860292,1.7,0.1716432865731463,-,0
172,0.10736815775702371,0.09803298288587263,0.11347920309665642,1.7,0.1711823647294589,-,0
173,0.10736815775702371,0.09818671940574716,0.11214810450749028,1.7,0.17072144288577154,-,0
174,0.10736815775702371,0.09818072859081914,0.11043758717334189,1.7,0.17026052104208417,-,0
175,0.10736815775702371,0.09740645153058299,0.11185275371202572,1.7,0.16979959919839677,-,0
176,0.10736815775702371,0.09770890501965417,0.11159156056436789,1.7,0.16933867735470942,-,0
177,0.10736815775702371,0.09829449706037366,0.10932370163586173,1.7,0.16887775551102202,-,0
178,0.10736815775702371,0.09866121138037484,0.10796521679965808,1.7,0.16841683366733468,-,0
179,0.10736815775702371,0.09887185667539126,0.10614560202230511,1.7,0.16795591182364727,-,0
180,0.10736815775702371,0.09881459367463732,0.1072102033838458,1.7,0.16749498997995993,-,0
181,0.10736815775702371,0.09880703692758339,0.10374008272367596,1.7,0.16703406813627253,-,0
182,0.10736815775702371,0.09890301567953803,0.10215680355576802,1.7,0.16657314629258518,-,0
183,0.10736815775702371,0.09861965559086891,0.1040015284736298,1.7,0.16611222444889778,-,0
184,0.10736815775702371,0.09812077914807635,0.10256311137641094,1.7,0.16565130260521044,-,0
185,0.10736815775702371,0.09777828533961078,0.10476456705406277,1.7,0.16519038076152304,-,0
186,0.10736815775702371,0.09791667456724208,0.10464461133115828,1.7,0.1647294589178357,-,0
187,0.10736815775702371,0.09785294831638966,0.10828416388824526,1.7,0.1642685370741483,-,0
188,0.10736815775702371,0.09755432500731782,0.10962343826114229,1.7,0.16380761523046092,-,0
189,0.10736815775702371,0.09736700114465341,0.10939910324145544,1.7,0.16334669338677354,-,0
190,0.10736815775702371,0.09772553722709813,0.10780756102085627,1.7,0.16288577154308617,-,0
191,0.10736815775702371,0.09759760589259919,0.10770590680762068,1.7,0.1624248496993988,-,0
192,0.10736815775702371,0.09831384907718368,0.10847953745683468,1.7,0.16196392785571143,-,0
193,0.10736815775702371,0.09804684487547163,0.1059567651064331,1.7,0.16150300601202405,-,0
194,0.10736815775702371,0.09852496868058123,0.104364392914904,1.7,0.16104208416833665,-,0
195,0.10736815775702371,0.09823544771272066,0.10412797720644233,1.7,0.1605811623246493,-,0
196,0.10736815775702371,0.09803415363205402,0.10525973578937123,1.7,0.1601202404809619,-,0
197,0.10736815775702371,0.09845161305267222,0.10628366965676624,1.7,0.15965931863727456,-,0
198,0.10736815775702371,0.09845399073020059,0.10549124405837473,1.7,0.15919839679358716,-,0
199,0.10736815775702371,0.09886404097631203,0.10114443241461868,1.7,0.1587374749498998,-,0
200,0.10736815775702371,0.09873706312429856,0.10253102538831826,1.7,0.15827655310621241,-,0
201,0.10736815775702371,0.09907641613288634,0.09990510135685736,1.7,0.15781563126252504,-,0
202,0.10773201858476326,0.10011513914730252,0.09524788687503953,1.7,0.15735470941883767,-,0
203,0.10773201858476326,0.10037835217680739,0.09270065694100325,1.7,0.1568937875751503,-,0
204,0.10773201858476326,0.10034358285739535,0.09308853595638568,1.7,0.15643286573146292,-,0
205,0.10773201858476326,0.10066402667579619,0.09201045623301791,1.7,0.15597194388777555,-,0
206,0.10773201858476326,0.10117581894814229,0.08841579858506952,1.7,0.46653306613226453,boost,1
207,0.10773201858476326,0.0907625089385922,0.1449329993890208,1.7,0.07752505010020039,damp,0
208,0.10773201858476326,0.09572003261791133,0.12313554808729398,1.7,0.07729458917835672,damp,0
209,0.10773201858476326,0.09762863121157064,0.11013603687325244,1.7,0.15412825651302606,-,0
210,0.10773201858476326,0.09791715065595254,0.10915665561764334,1.7,0.15366733466933868,-,0
211,0.10773201858476326,0.09802973045138781,0.1082798001968434,1.7,0.15320641282565128,-,0
212,0.10773201858476326,0.09873243727205269,0.10702384147883812,1.7,0.15274549098196394,-,0
213,0.10773201858476326,0.09917465859640766,0.1051323053085877,1.7,0.15228456913827654,-,0
214,0.10773201858476326,0.09963711835024221,0.10431774290492714,1.7,0.1518236472945892,-,0
215,0.10797318842634872,0.09959671653884558,0.10650096660154816,1.7,0.1513627254509018,-,0
216,0.10797318842634872,0.09994804738706034,0.10502578933417556,1.7,0.15090180360721445,-,0
217,0.10797318842634872,0.1002610531620908,0.10416101134638904,1.7,0.15044088176352705,-,0
218,0.10797318842634872,0.10074294273243392,0.10665855421939552,1.7,0.14997995991983967,-,0
219,0.10797318842634872,0.10083964655798741,0.10541938259127705,1.7,0.1495190380761523,-,0
220,0.10797318842634872,0.10110628306219613,0.10768001345033544,1.7,0.14905811623246493,-,0
221,0.10797318842634872,0.10141669886227538,0.10576082427322506,1.7,0.14859719438877755,-,0
222,0.10797318842634872,0.10151805640384808,0.1060823890035063,1.7,0.14813627254509018,-,0
